,가격등록일자,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위명,당일최저가격,당일최대가격,가격등록년도
81,2005-01-20,당근,무세척,3500.0,유기농,1,kg,3500,3500,2005
82,2005-01-20,당근,무세척,4246.0,무농약,1,kg,2960,5560,2005
83,2005-01-20,당근,무세척,4760.0,저농약,1,kg,4760,4760,2005
84,2005-01-20,당근,세척,3560.0,무농약,1,kg,2400,5160,2005
85,2005-01-20,당근,세척,5160.0,저농약,1,kg,5160,5160,2005
86,2005-01-20,풋고추,풋고추,1133.0,유기농,100,g,1000,990,2005
87,2005-01-20,풋고추,풋고추,1415.0,무농약,100,g,1000,1680,2005
88,2005-01-20,풋고추,꽈리고추,1520.0,유기농,100,g,1520,1520,2005
89,2005-01-20,풋고추,꽈리고추,1450.0,무농약,100,g,1330,1520,2005
90,2005-01-20,양파,양파,3240.0,무농약,1,kg,2480,4560,2005
91,2005-01-20,양파,양파,9830.0,저농약,1,kg,9830,9830,2005
92,2005-01-20,파,대파,4838.0,유기농,1,kg,3360,6600,2005
93,2005-01-20,파,대파,5792.0,무농약,1,kg,1000,7267,2005
94,2005-01-20,파,쪽파,10000.0,유기농,1,kg,10000,10000,2005
95,2005-01-20,파,쪽파,4550.0,무농약,1,kg,4550,4550,2005
96,2005-01-20,미나리,미나리,9800.0,무농약,1,kg,10000,9800,2005
97,2005-01-20,깻잎,깻잎,3800.0,유기농,100,g,3300,4300,2005
98,2005-01-20,깻잎,깻잎,3033.0,무농약,100,g,1400,6400,2005
99,2005-01-20,팽이버섯,팽이버섯,609.0,무농약,150,g,1128,585,2005
100,2005-01-20,사과,후지,5989.0,저농약,10,개,4560,7900,2005
101,2005-01-20,배,신고,7615.0,무농약,10,개,7615,7615,2005
102,2005-01-20,배,신고,4570.0,저농약,10,개,2380,7500,2005
103,2005-01-20,감귤,감귤,5320.0,유기농,10,개,5320,5320,2005
104,2005-01-20,감귤,감귤,2900.0,무농약,10,개,2700,3100,2005
105,2005-01-20,감귤,감귤,3200.0,저농약,10,개,3200,3200,2005
106,2005-01-20,방울토마토,국산,480.0,유기농,1,kg,480,480,2005
107,2005-01-20,방울토마토,국산,605.0,무농약,1,kg,490,796,2005
108,2005-01-20,방울토마토,국산,560.0,저농약,1,kg,560,560,2005
109,2005-02-10,쌀,일반계,44770.0,유기농,10,kg,42500,48250,2005
110,2005-02-10,쌀,일반계,39446.0,무농약,10,kg,32600,51500,2005
111,2005-02-10,쌀,일반계,28000.0,저농약,10,kg,27500,28500,2005
112,2005-02-10,양배추,양배추,3520.0,유기농,1,포기,3000,4000,2005
113,2005-02-10,양배추,양배추,4291.0,무농약,1,포기,2500,7220,2005
114,2005-02-10,시금치,시금치,8700.0,유기농,1,kg,12900,9000,2005
115,2005-02-10,시금치,시금치,8100.0,무농약,1,kg,10500,9400,2005
116,2005-02-10,상추,적,1003.0,유기농,100,g,1180,980,2005
